年,放送期間,タイトル
,10月5日 - 12月28日,天体のメソッド
,10月6日 - 12月25日,甘城ブリリアントパーク
,10月8日 - 2015年4月1日,ガンダムビルドファイターズトライ
,10月9日 - 2015年3月26日,SHIROBAKO
,10月9日 - 12月18日,PSYCHO-PASS サイコパス 2
,10月9日 - 2015年3月19日,四月は君の嘘
,10月16日 - 12月25日,結城友奈は勇者である
2015,1月3日 - 3月28日,探偵歌劇 ミルキィホームズ TD
,1月6日 - 3月31日,ユリ熊嵐
,1月6日 - 3月31日,キュートランスフォーマー 帰ってきたコンボイの謎
,1月8日 - 3月26日,艦隊これくしょん -艦これ-
,1月9日 - 3月27日,冴えない彼女の育てかた
,1月9日 - 3月27日,幸腹グラフィティ
,1月9日 - 4月3日,蒼穹のファフナー EXODUS（第1期）
,1月10日 - 4月11日,アイドルマスター シンデレラガールズ（第1期）
,1月10日 - 3月28日,デュラララ!!×2 承
,1月11日 - 3月29日,アルドノア・ゼロ（第2期）
,1月11日 - 3月29日,"DOG DAYS"""
,1月11日 - 3月29日,ローリング☆ガールズ
,1月11日 - 3月29日,夜ノヤッターマン
,4月3日 - 6月26日,旦那が何を言っているかわからない件 2スレ目
,4月3日 - 6月26日,やはり俺の青春ラブコメはまちがっている。続
,4月3日 - 6月19日,魔法少女リリカルなのはViVid
,4月4日 - 6月27日,ダンジョンに出会いを求めるのは間違っているだろうか
,4月4日 - 7月18日,長門有希ちゃんの消失
,4月5日 - 6月28日,プラスティック・メモリーズ
,4月5日 - 9月27日,アルスラーン戦記
,4月6日 - 6月22日,ハロー!!きんいろモザイク
,4月7日 - 6月23日,てーきゅう（第4期）
,4月7日 - 6月23日,高宮なすのです! ?てーきゅうスピンオフ?
,4月8日 - 7月1日,響け! ユーフォニアム
,4月9日 - 6月25日,放課後のプレアデス
,4月9日 - 6月25日,えとたま
,4月10日 - 6月26日,パンチライン
,4月10日 - 6月26日,ニセコイ:
,4月11日 - 6月27日,シドニアの騎士 第九惑星戦役
,7月3日 - 9月18日,城下町のダンデライオン
